extent,min,max,mean,stdev,ci95_min,ci95_max
5,1266.452613,1286.976136,1274.2089813333332,8.172281538179606,1264.0617535648457,1284.3562091018207
6,728.6053436666666,748.3302783333334,739.6430574,8.094377500637966,729.5925602702364,749.6935545297636
7,1160.5742686666667,1192.5631393333333,1178.1154113999999,14.937793192461223,1159.5676913815055,1196.6631314184942
8,1099.1181206666668,1142.5910876666667,1122.0134104,20.338839156362216,1096.7594060559193,1147.267414744081
9,1435.8967493333334,1507.0538843333334,1473.6380900666668,25.62234741987819,1441.82374372799,1505.4524364053436
10,2526.1689333333334,2566.247902,2553.1587656,16.40750751269971,2532.786154222539,2573.531376977461
11,4829.520484,4871.106797666666,4848.1966936,17.12417792358649,4826.93421837482,4869.459168825179
12,2820.8773123333335,2872.9119496666667,2838.2225002000005,22.061450492222544,2810.8295913774223,2865.6154090225787
13,117446.27863366666,118778.545051,118076.79448066668,605.5380158698503,117324.9197268659,118828.66923446745
14,35221.00695366666,35606.454935333335,35386.932780866664,150.93443028548364,35199.52293270389,35574.34262902944
