enumeration,size,extent,label_count,min,max,mean,stdev,ci95_min,ci95_max
283,6,14.644684871993665,3,31497.221358,32086.714829,31857.302795799995,218.74740178623517,31585.692022318955,32128.913569281034
282,6,14.30849778977514,4,15824.928091,16214.906867,15993.1112578,168.97912772019077,15783.295958475515,16202.926557124483
281,6,14.025776484744084,3,24247.952211,24856.33746,24682.211122200002,249.2249882238279,24372.757426889704,24991.6648175103
280,6,14.005801869225483,4,98144.307593,103757.081452,101044.6507928,2597.1855162643155,97819.81904080664,104269.48254479337
279,6,13.239388883177352,5,23351.187837,24839.000987,24124.330531800002,688.6076643839006,23269.311186102557,24979.349877497447
278,6,12.981644502912564,4,6749.326917,7104.453468,6938.273083,141.93168201305087,6762.0416232512725,7114.5045427487275
277,6,12.376384528609314,3,7332.737188,7644.534925,7434.745371,130.09754967865217,7273.207927319926,7596.282814680074
276,6,12.199544622648826,4,6425.646413,6689.196542,6555.3750598,111.17667811423948,6417.330981154577,6693.4191384454225
275,6,11.561411375779342,4,5907.038308,6191.004748,6100.1932742,113.89119386818713,5958.77867907056,6241.607869329439
274,6,8.474292536843416,5,5976.050152,6327.540917,6146.4374216,148.13442275245686,5962.504241985458,6330.370601214541
273,5,14.954176975012702,5,13077.442456,14546.178513,13845.367151200004,575.873419818191,13130.325858335458,14560.40844406455
272,5,14.847636444902601,5,56546.023186,66066.067843,60780.10170680001,3925.9750246267545,55905.35986118869,65654.84355241133
271,5,14.82831295191735,5,20092.19525,28245.968632,23699.393008400002,3215.074613089814,19707.35061004533,27691.435406754674
270,5,14.769897393008524,5,14691.489459,15546.208678,14919.974986399999,353.599558194665,14480.923145237284,15359.026827562713
269,5,14.718317431010924,5,19317.050653,19776.767259,19614.314574199998,187.57087461118866,19381.414572098736,19847.21457630126
268,5,14.703180812327652,4,25920.985707,27341.851049,26650.9273456,655.9330726278262,25836.47886413946,27465.375827060543
267,5,14.62719214340196,5,18077.142737,18414.636207,18167.336743800002,141.38472931577186,17991.784415524162,18342.889072075843
266,5,14.611986073083976,5,11551.494553,12914.913094,11928.2331422,585.7048788948038,11200.984480551,12655.481803849001
265,5,14.566387884441358,5,6184.549143,6562.780717,6344.1145782,147.17915852780504,6161.367515781904,6526.861640618096
264,5,14.52716228311641,5,19052.162323,20426.924967,19805.6038516,593.7476233092933,19068.36880376542,20542.83889943458
263,5,14.461774649053275,5,51704.06055,62577.867996,56182.726199000004,3950.17573571841,51277.93520169719,61087.51719630282
262,5,14.415409012580946,4,9143.94597,9964.266915,9431.1264924,322.5809175184534,9030.58938063567,9831.66360416433
261,5,13.908869292649205,3,5934.738918,6113.910587,6023.0756458000005,68.68681562487522,5937.789699692842,6108.361591907159
260,5,13.723752438746482,4,25368.432833,26422.653017,25960.2719592,381.32389857975,25486.795802709403,26433.748115690596
259,5,13.299519465003238,5,5549.760514,5852.659489,5673.824551799999,121.30204660570142,5523.208167630994,5824.440935969005
258,5,13.230815734488944,5,6910.92812,7065.121066,6991.7018876,65.42291400648097,6910.468610625819,7072.935164574182
257,5,13.142463125304936,4,7386.25884,7859.872537,7638.2983022,211.5777475101036,7375.589830312627,7901.006774087373
256,5,13.109705221705028,4,11281.993158,12041.445442,11623.8640802,343.4629729625201,11197.398471983952,12050.32968841605
255,5,12.37261451755448,4,6288.075643,6469.853868,6354.6468744,71.16995451211409,6266.277704134217,6443.016044665784
254,5,12.119577467882285,5,5321.748603,5463.301062,5388.6002766,59.374852048506376,5314.876660417456,5462.323892782544
253,5,11.962080964447617,4,5062.76268,5180.15604,5095.710771,48.84242594184389,5035.064889126996,5156.356652873004
252,5,11.289453175419968,3,4910.122944,5119.784188,4967.7391802,85.92428542123162,4861.050088427964,5074.428271972037
251,5,10.961915799713115,3,5020.459216,5223.817067,5091.568216000001,81.82635549974927,4989.967376278302,5193.169055721699
