extent,min,max,mean,stdev,ci95_min,ci95_max
2,746.5400983333334,780.9820626666667,767.1279293333334,13.428004923650676,750.4548590530104,783.8009996136565
3,995.3583093333333,1047.8237196666666,1014.2039546,20.271485852867293,989.0335804280235,1039.3743287719765
4,1129.0542676666666,1152.832053,1142.2582683333335,10.706411936380668,1128.9645020828493,1155.5520345838177
5,24927.922701,25139.145073333333,25046.976452733335,84.5499204993348,24941.993860405102,25151.95904506157
6,21484.947816666667,21753.670673333334,21558.143585466667,111.35755024393634,21419.874924409534,21696.4122465238
